Gametype,Firstscore,Secondscore,Winner
SIM18,20,23,C1 Win
SIM18,19,21,C2 Win
SIM18,23,20,C2 Win
SIM18,21,24,C1 Win
SIM18,16,23,C1 Win
SIM18,0,11,C1 Win
SIM18,18,27,C1 Win
SIM18,12,0,C2 Win
SIM18,17,19,C2 Win
SIM18,23,27,Draw
SIM18,19,23,C1 Win
SIM18,17,18,C2 Win
SIM18,18,26,C1 Win
SIM18,17,19,C2 Win
SIM18,8,0,C2 Win
SIM18,18,18,Draw
SIM18,21,18,C1 Win
SIM18,15,0,C2 Win
SIM18,16,25,C1 Win
SIM18,19,23,C1 Win
SIM18,22,20,C2 Win
SIM18,21,20,C1 Win
SIM18,15,0,C2 Win
SIM18,19,21,C2 Win
SIM18,17,25,C1 Win
SIM18,18,20,C2 Win
SIM18,16,24,C1 Win
SIM18,16,20,C2 Win
SIM18,20,22,C1 Win
SIM18,20,21,C2 Win
SIM18,19,21,C2 Win
SIM18,16,19,C2 Win
SIM18,16,24,C1 Win
SIM18,20,18,C1 Win
SIM18,20,19,C1 Win
SIM18,21,25,C1 Win
SIM18,16,19,C2 Win
SIM18,20,18,C1 Win
SIM18,22,24,Draw
SIM18,23,18,C2 Win
SIM18,16,18,C2 Win
SIM18,19,20,C2 Win
SIM18,16,0,C2 Win
SIM18,25,14,C2 Win
SIM18,20,18,C1 Win
SIM18,17,24,C1 Win
SIM18,24,19,C2 Win
SIM18,19,26,C1 Win
SIM18,18,22,C1 Win
SIM18,18,19,C2 Win
SIM18,0,14,C1 Win
SIM18,17,19,C2 Win
SIM18,17,25,C1 Win
SIM18,21,20,C1 Win
SIM18,16,18,C2 Win
SIM18,25,25,Draw
SIM18,23,19,C2 Win
SIM18,19,20,C2 Win
SIM18,21,22,C1 Win
SIM18,18,22,C1 Win
SIM18,20,24,C1 Win
SIM18,16,0,C2 Win
SIM18,19,26,C1 Win
SIM18,21,19,C1 Win
SIM18,0,9,C1 Win
SIM18,22,19,C2 Win
SIM18,17,18,C2 Win
SIM18,18,21,C2 Win
SIM18,18,22,C1 Win
SIM18,23,13,C2 Win
SIM18,17,25,C1 Win
SIM18,19,20,C2 Win
SIM18,16,27,C1 Win
SIM18,19,26,C1 Win
SIM18,17,0,C2 Win
SIM18,18,20,C2 Win
SIM18,20,20,Draw
SIM18,16,26,C1 Win
SIM18,20,20,Draw
SIM18,23,16,C2 Win
SIM18,18,21,C2 Win
SIM18,18,19,C2 Win
SIM18,17,24,C1 Win
SIM18,16,18,C2 Win
SIM18,16,19,C2 Win
SIM18,19,20,C2 Win
SIM18,21,27,C1 Win
SIM18,16,18,C2 Win
SIM18,20,19,C1 Win
SIM18,20,25,C1 Win
SIM18,16,23,C1 Win
SIM18,21,21,Draw
SIM18,16,24,C1 Win
SIM18,16,27,C1 Win
SIM18,25,24,Draw
SIM18,17,20,C2 Win
SIM18,6,0,C2 Win
SIM18,20,22,C1 Win
SIM18,24,19,C2 Win
SIM18,20,20,Draw
